ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
BANK MANDIRI,"9,190,306","706,100","675,900","9,220,506",IDR,"4,544,811.85 0.12"
BANK NEGARA INDONESIA 'B',"3,895,169","1,551,300","1,544,700","3,901,769",IDR,"1,847,907.17 0.05"
BANK RAKYAT INDONESIA 'B',"26,863,300","8,105,381","2,197,600","32,771,081",IDR,"9,450,339.58 0.25"
BARITO PACIFIC,"14,399,700",0,0,"14,399,700",IDR,"863,842.14 0.02"
CHAROEN POKPHAND INDONESIA,"3,104,400",0,0,"3,104,400",IDR,"1,296,013.32 0.03"
GUDANG GARAM PERUSAHAAN ROKOK,"260,400",0,0,"260,400",IDR,"559,084.22 0.01"
INDAH KIAT PULP & PAPER CORPORATION,"1,521,900",0,"360,300","1,161,600",IDR,"637,757.79 0.02"
INDOFOOD CBP SUKSES MAKMUR,"1,231,500",0,0,"1,231,500",IDR,"751,741.44 0.02"
INDOFOOD SUKSES MAKMUR,"2,318,000",0,0,"2,318,000",IDR,"1,028,700.11 0.03"
KALBE FARMA,"10,875,000","3,148,400","3,146,700","10,876,700",IDR,"1,232,493.11 0.03"
MERDEKA COPPER GOLD,"5,456,338",0,0,"5,456,338",IDR,"1,489,243.43 0.04"
PERUSAHAAN GN 'B',"5,802,400",0,"5,802,400",0,IDR,0.00 0.00
PT INDOCEMENT TUNGGAL PRAKARSA,"505,200","849,400","438,700","915,900",IDR,"777,585.68 0.02"
SARANA MENARA NUSANTARA,"9,476,796","4,328,200",0,"13,804,996",IDR,"1,089,691.67 0.03"
SEMEN INDONESIA (PERSERO),"1,606,400",0,"400,000","1,206,400",IDR,"613,683.10 0.02"
TELEKOMUNIKASI INDONESIA 'B',"22,890,200","4,023,300","3,090,100","23,823,400",IDR,"6,753,049.49 0.18"
TOWER BERSAMA INFRASTRUCTURE,0,"3,518,200",0,"3,518,200",IDR,"728,211.22 0.02"
UNILEVER INDONESIA,"3,422,800",0,0,"3,422,800",IDR,"987,047.77 0.03"
UNITED TRACTORS,"1,223,618","1,121,500","873,300","1,471,818",IDR,"2,287,402.89 0.06"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
JERSEY / JERSEY,,,,,,
POLYMETAL INTERNATIONAL,"118,274","58,156","15,182","161,248",RUB,"2,821,685.15 0.07"
"",,,,,,
"",,,,,,"2,821,685.15 0.07"
KOWEIT / KUWAIT,,,,,,
AGILITY PUBLIC WARE. -PROV-,0,"48,602","48,602",0,KWD,0.00 0.00
AGILITY PUBLIC WAREHOUSING,"486,024","48,602",0,"534,626",KWD,"1,671,535.16 0.04"
BOUBYAN BANK,"514,065","25,703",0,"539,768",KWD,"1,410,807.82 0.04"
KUWAIT FINANCE HOUSE,"2,000,037","327,162","146,157","2,181,042",KWD,"6,003,727.71 0.16"
MABANEE COMPANY,"326,988","143,068","151,902","318,154",KWD,"834,726.51 0.02"
MABANEE COMPANY -PROV-,0,"10,505","10,505",0,KWD,0.00 0.00
MOBILE TELECOMMUNICATIONS,"1,034,760",0,0,"1,034,760",KWD,"2,036,996.26 0.05"
NATIONAL BANK OF KUWAIT,"3,167,225","487,843","376,792","3,278,276",KWD,"10,813,699.71 0.28"
NATIONAL BANK OF KUWAIT -PROV-,0,"152,163","152,163",0,KWD,0.00 0.00
THE GULF BANK,"483,824","416,713","900,537",0,KWD,0.00 0.00
"",,,,,,
"",,,,,,"22,771,493.17 0.60"
LUXEMBOURG / LUXEMBURG,,,,,,
ADECOAGRO,0,"68,700","68,700",0,USD,0.00 0.00
ALLEGRO.EU,"127,000","105,268","45,536","186,732",PLN,"1,800,415.35 0.05"
GLOBANT,"18,600","1,800","20,400",0,USD,0.00 0.00
REINET INVEST,"80,745","37,593","55,662","62,676",ZAR,"1,123,259.19 0.03"
"",,,,,,
"",,,,,,"2,923,674.54 0.08"
MALAISIE / MALAYSIA,,,,,,
AMMB HOLDINGS,"904,400",0,0,"904,400",MYR,"688,177.62 0.02"
AXIATA GROUP,"1,462,500","779,600","778,000","1,464,100",MYR,"1,461,991.33 0.04"
CIMB GROUP HOLDINGS,"3,023,900",0,0,"3,023,900",MYR,"3,955,894.08 0.10"
DIALOG GROUP,"1,953,644",0,0,"1,953,644",MYR,"1,228,647.91 0.03"
DIGI.COM,"1,306,100","707,900","350,900","1,663,100",MYR,"1,740,546.30 0.05"
FRASER & NEAVE HOLDINGS,"76,300",0,0,"76,300",MYR,"453,111.37 0.01"
GAMUDA,"952,000",0,"952,000",0,MYR,0.00 0.00
GENTING,"1,142,800",0,"315,900","826,900",MYR,"926,937.81 0.02"
GENTING MALAYSIA,"1,543,500",0,0,"1,543,500",MYR,"1,067,037.91 0.03"
GENTING PLANT,"130,900",0,"130,900",0,MYR,0.00 0.00
HAP SENG CONSOLIDATED,"365,800",0,"195,300","170,500",MYR,"315,134.42 0.01"
HARTALEGA HOLDINGS,"825,200","262,600","157,100","930,700",MYR,"1,280,103.43 0.03"
HONG LEONG BANK,"345,520",0,"80,300","265,220",MYR,"1,185,404.78 0.03"
HONG LEONG FINANCIAL GROUP,"131,492",0,0,"131,492",MYR,"547,304.67 0.01"
IHH HEALTHCARE,"911,500","449,200","530,200","830,500",MYR,"1,463,242.89 0.04"
INARI AMERTRON,0,"1,423,200",0,"1,423,200",MYR,"1,366,490.62 0.04"
IOI CORPORATION,"1,243,700",0,0,"1,243,700",MYR,"1,113,538.39 0.03"
KOSSAN RUBBER INDUSTRIES,"572,400",0,"572,400",0,MYR,0.00 0.00
KUALA LUMPUR KEPONG REG.,"227,700","71,000","60,800","237,900",MYR,"1,243,749.86 0.03"
MALAYAN BANKING,"1,902,000","726,100","352,500","2,275,600",MYR,"4,533,720.52 0.12"
MALAYSIA AIRPORTS HOLDINGS,"482,520","244,100","231,400","495,220",MYR,"710,853.47 0.02"
MAXIS,"985,600",0,0,"985,600",MYR,"1,147,421.97 0.03"
MISC,"596,700","226,400",0,"823,100",MYR,"1,392,908.04 0.04"
NESTLE (MALAYSIA),"27,800",0,0,"27,800",MYR,"895,525.67 0.02"
PETRONAS CHEMICALS GROUP,"1,031,400","176,000",0,"1,207,400",MYR,"2,585,215.51 0.07"
PETRONAS DAGANGAN,"126,400","151,300","83,300","194,400",MYR,"961,267.39 0.03"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
PETRONAS GAS,"397,000","91,100","90,800","397,300",MYR,"1,716,610.63 0.04"
PPB GROUP,"305,040",0,0,"305,040",MYR,"1,252,084.47 0.03"
PRESS METAL ALUMINIUM HOLDINGS,"736,200","1,066,500","324,700","1,478,000",MYR,"2,050,609.66 0.05"
PUBLIC BANK,"1,400,660","6,068,140","413,200","7,055,600",MYR,"7,045,438.19 0.18"
QL RESOURCES,"546,600",0,0,"546,600",MYR,"599,606.81 0.02"
RHB BANK BERHAD,"891,008","271,800","263,700","899,108",MYR,"1,158,955.80 0.03"
SIME DARBY,"1,504,000",0,0,"1,504,000",MYR,"837,561.20 0.02"
SIME DARBY PLANTATION,"1,067,600",0,"290,600","777,000",MYR,"701,276.99 0.02"
SUPERMAX CORP,"683,900","15,197","699,097",0,MYR,0.00 0.00
SUPERMAX CORP -PROV-,"15,197",0,"15,197",0,MYR,0.00 0.00
TELEKOM MALAYSIA,"600,000",0,0,"600,000",MYR,"792,126.73 0.02"
TENAGA NASIONAL,"1,056,200",0,0,"1,056,200",MYR,"2,367,956.75 0.06"
TOP GLOVE CORPORATION,"2,343,000",0,0,"2,343,000",MYR,"1,456,641.84 0.04"
WESTPORT HOLDINGS,"436,600",0,0,"436,600",MYR,"424,443.10 0.01"
"",,,,,,
"",,,,,,"52,667,538.13 1.38"
MEXIQUE / MEXIKO,,,,,,
ALFA SAB 'A',"1,635,300","1,436,400","1,635,300","1,436,400",MXN,"1,054,225.77 0.03"
AMERICA MOVIL 'L',"16,276,412","1,617,300","1,420,600","16,473,112",MXN,"17,459,166.24 0.46"
ARCA CONTINENTAL,"231,614","58,300","56,200","233,714",MXN,"1,490,562.14 0.04"
BECLE,"211,200",0,0,"211,200",MXN,"530,038.27 0.01"
CEMEX (2 SHS'A'+ 1 SHS'B') -CPO-,"6,958,454",0,0,"6,958,454",MXN,"4,756,842.48 0.12"
COCA-COLA FEMSA -UNITS-,"210,505","143,580","75,305","278,780",MXN,"1,521,609.06 0.04"
FIBRA UNO ADMINISTRACION,"1,628,700","337,600","312,100","1,654,200",MXN,"1,749,176.24 0.05"
FOM.ECONON.MEXICANO (1SH B+ 4SHS D),"949,200","49,400","88,400","910,200",MXN,"7,085,906.65 0.19"
GROUPO FINANCIERO BANORTE 'O',"1,216,800","61,000","57,300","1,220,500",MXN,"7,933,101.75 0.21"
GRUMA 'B',"114,270","91,660","98,715","107,215",MXN,"1,375,327.88 0.04"
GRUPO AEROPORTUARIO DEL PACIFICO'B',"188,600","33,300","62,800","159,100",MXN,"2,193,582.25 0.06"
GRUPO AEROPORTUARIO SURESTE 'B',"86,225","39,570","21,585","104,210",MXN,"2,152,740.03 0.06"
GRUPO BIMBO 'A',"691,700",0,0,"691,700",MXN,"2,128,333.92 0.06"
GRUPO CARSO 'A1',"246,500",0,0,"246,500",MXN,"797,255.64 0.02"
GRUPO FINANCIERO INBURSA 'O',"1,237,400","736,200","822,200","1,151,400",MXN,"1,379,542.19 0.04"
GRUPO MEXICO SAB 'B',"1,526,645","90,300","143,700","1,473,245",MXN,"6,427,855.37 0.17"
GRUPO TELEVISA(25A+35L+35D+22B)-CPO,"1,065,200","182,100",0,"1,247,300",MXN,"2,349,544.11 0.06"
IENOVA,"277,100",0,"277,100",0,MXN,0.00 0.00
INDUSTRIAS PENOLES,"74,285",0,0,"74,285",MXN,"855,048.96 0.02"
KIMBERLY-CLARK DE MEXICO 'A',"791,800","445,800","445,400","792,200",MXN,"1,200,397.00 0.03"
MEGACABLE HOLDINGS -CPO- (2 SHS A),"137,400",0,0,"137,400",MXN,"468,361.84 0.01"
ORBIA ADVANCE CORP,"414,051","271,595","133,090","552,556",MXN,"1,411,292.70 0.04"
PROMOTORA OPERADORA INFRAESTRUCTURA,"118,715",0,0,"118,715",MXN,"928,140.83 0.02"
TELESITES 'B-1',"665,000",0,0,"665,000",MXN,"681,084.85 0.02"
WAL-MART DE MEXICO,"2,531,102","200,000","224,400","2,506,702",MXN,"9,320,057.43 0.24"
"",,,,,,
"",,,,,,"77,249,193.60 2.02"
PAKISTAN / PAKISTAN,,,,,,
HABIB BANK,"346,200",0,"346,200",0,PKR,0.00 0.00
LUCKY CEMENT,0,"60,820","60,820",0,PKR,0.00 0.00
MCB BANK,"188,300",0,"188,300",0,PKR,0.00 0.00
OIL & GAS DEVELOPMENT,"408,000",0,"408,000",0,PKR,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
PAYS-BAS / NIEDERLANDE,,,,,,
X5 RETAIL GROUP -GDR SPONS.-,"55,172",0,0,"55,172",RUB,"1,442,852.52 0.04"
YANDEX 'A',"147,896","21,156","20,607","148,445",RUB,"8,934,711.11 0.23"
"",,,,,,
"",,,,,,"10,377,563.63 0.27"
PEROU / PERU,,,,,,
MINAS BUENAVENTURA -ADR SPONS.-,"114,100","50,500","30,600","134,000",USD,"980,880.00 0.03"
"",,,,,,
"",,,,,,"980,880.00 0.03"
PHILIPPINES / PHILIPPINEN,,,,,,
ABOITIZ EQUITY VENTURES,"1,123,930","317,700","421,400","1,020,230",PHP,"1,089,405.53 0.03"
ABOITIZ POWER,"744,900",0,"744,900",0,PHP,0.00 0.00
AC ENERGY,0,"4,445,700",0,"4,445,700",PHP,"959,017.29 0.03"
AYALA,"128,840",0,0,"128,840",PHP,"2,099,642.42 0.05"
AYALA LAND,"3,687,500",0,0,"3,687,500",PHP,"2,653,943.62 0.07"
BANK OF THE PHILIPPINE ISLAND,"857,616",0,0,"857,616",PHP,"1,549,821.96 0.04"
BDO UNIBANK,"880,763",0,0,"880,763",PHP,"2,084,778.55 0.05"
GLOBE TELECOM,"17,145",0,"6,730","10,415",PHP,"678,504.14 0.02"
GT CAPITAL,"56,645",0,0,"56,645",PHP,"599,858.67 0.02"
INTERNATIONAL CONTAINER TERMINAL,"522,850","187,430","211,520","498,760",PHP,"1,956,208.81 0.05"
JG SUMMIT HOLDINGS,"1,383,837",0,0,"1,383,837",PHP,"1,438,316.32 0.04"
JOLLIBEE FOODS,"240,840","157,700","167,030","231,510",PHP,"982,472.97 0.03"
MANILA ELECTRIC,"120,070",0,0,"120,070",PHP,"695,095.48 0.02"
MEGAWORLD,"5,697,600",0,"5,697,600",0,PHP,0.00 0.00
METRO PACIFIC INVESTMENTS,"7,209,500","4,337,000","4,312,000","7,234,500",PHP,"553,307.72 0.01"
METROPOLITAN BANK & TRUST,"956,473","353,700","335,000","975,173",PHP,"1,065,198.29 0.03"
MONDE NISSIN,0,"1,972,600",0,"1,972,600",PHP,"626,682.61 0.02"
PLDT,"43,995","10,390","13,020","41,365",PHP,"1,469,889.95 0.04"
PUREGOLD PRICE CLUB,"382,600",0,"382,600",0,PHP,0.00 0.00
SM INVESTMENTS,"110,181","16,030","15,760","110,451",PHP,"2,042,560.57 0.05"
SM PRIME HOLDINGS,"4,829,050","482,300","510,800","4,800,550",PHP,"3,191,422.44 0.08"
UNIVERSAL ROBINA,"466,910","135,300","113,090","489,120",PHP,"1,227,775.58 0.03"
"",,,,,,
"",,,,,,"26,963,902.92 0.71"
POLOGNE / POLEN,,,,,,
BANK PEKAO,"90,301","12,978","14,191","89,088",PLN,"2,696,684.72 0.07"
CD PROJEKT,"30,919","5,371","5,156","31,134",PLN,"1,490,109.94 0.04"
CYFROWY POLSAT,"137,262",0,0,"137,262",PLN,"1,182,445.70 0.03"
DINO POLSKA,"25,265","14,494","14,181","25,578",PLN,"2,330,980.43 0.06"
KGHM POLSKA MIEDZ,"64,228","6,109","6,776","63,561",PLN,"2,198,389.34 0.06"
LPP,692,581,712,561,PLN,"2,394,100.86 0.06"
MBANK,0,"5,912",0,"5,912",PLN,"635,439.11 0.02"
ORANGE POLSKA,"330,326",0,0,"330,326",PLN,"692,549.23 0.02"
PKN ORLEN,"138,199",0,0,"138,199",PLN,"2,549,051.47 0.07"
PKO BANK POLSKI,"403,438","67,404","30,046","440,796",PLN,"4,913,887.29 0.13"
POLISH OIL AND GAS COMPANY,"925,197",0,0,"925,197",PLN,"1,446,191.79 0.04"
PZU - POWSZECHNY ZAKLAD UBEZPIECZEN,"313,253","38,920","42,505","309,668",PLN,"2,716,044.55 0.07"
SANT.BK P. S. A.,"18,783","5,065","6,168","17,680",PLN,"1,528,748.97 0.04"
"",,,,,,
"",,,,,,"26,774,623.40 0.70"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
QATAR / QATAR,,,,,,
BARWA REAL ESTATE,"1,022,318","403,148","392,108","1,033,358",QAR,"868,462.69 0.02"
INDUSTRIES QATAR,"968,877","255,431","475,911","748,397",QAR,"3,183,922.39 0.08"
MASRAF AL RAYAN,"1,655,210","525,235",0,"2,180,445",QAR,"2,778,702.97 0.07"
MESAIEED PETROCHEMICAL HOLDING,"2,370,970","576,369","622,850","2,324,489",QAR,"1,334,297.83 0.03"
OOREDOO,"418,350","182,624","182,062","418,912",QAR,"807,679.16 0.02"
QATAR ELECTRICITY AND WATER,"213,133","61,194","77,250","197,077",QAR,"898,510.19 0.02"
QATAR FUEL,"242,438",0,0,"242,438",QAR,"1,217,183.12 0.03"
QATAR GAS TRANSPORT COMPANY,"1,184,220",0,0,"1,184,220",QAR,"1,073,310.39 0.03"
QATAR INTERNATIONAL ISLAMIC BANK,"348,984",0,0,"348,984",QAR,"882,763.15 0.02"
QATAR ISLAMIC BANK,"587,020","70,251","74,530","582,741",QAR,"2,933,709.18 0.08"
QATAR NATIONAL BANK,"2,198,705","324,912","357,006","2,166,611",QAR,"12,014,238.86 0.31"
THE COMMERCIAL BANK (Q.S.C.),"790,129","779,316","578,792","990,653",QAR,"1,836,284.55 0.05"
"",,,,,,
"",,,,,,"29,829,064.48 0.78"
REPUBLIQUE TCHEQUE / TSCHECHISCHE REPUBLIK,,,,,,
CEZ,"68,748","23,266","11,577","80,437",CZK,"3,044,192.69 0.08"
KOMERCNI BANKA,"41,316","9,323","11,052","39,587",CZK,"1,693,850.07 0.04"
MONETA MONEY BANK,"265,059",0,"99,515","165,544",CZK,"710,224.23 0.02"
"",,,,,,
"",,,,,,"5,448,266.99 0.14"
RUSSIE / RUSSLAND,,,,,,
ALROSA,"1,073,460","651,000","449,530","1,274,930",RUB,"2,087,370.83 0.05"
GAZPROM,"5,656,780","683,870","615,720","5,724,930",RUB,"26,201,948.34 0.69"
INTER RAO UES,"18,443,000",0,0,"18,443,000",RUB,"1,050,578.58 0.03"
LUKOIL OIL COMPANY,"198,131","24,548","21,665","201,014",RUB,"17,607,860.10 0.46"
MAGNIT -GDR SPONS.-,"173,053","22,809","23,420","172,442",USD,"2,586,630.00 0.07"
MMC NORILSK NIC,"30,002","4,397","3,903","30,496",RUB,"9,281,659.81 0.24"
MOBILE TELESYSTEMS -ADR SPONS.-,"227,983","44,200","38,200","233,983",USD,"1,860,164.85 0.05"
MOSCOW EXCHANGE,"721,580","176,190","161,900","735,870",RUB,"1,502,858.41 0.04"
NOVATEK -GDR SPONS.- REG.S,"43,670","4,951","5,338","43,283",USD,"10,136,878.60 0.27"
NOVOLIPETSK STEEL,"630,840","185,500","116,500","699,840",RUB,"2,030,730.92 0.05"
PHOSAGRO -GDR SPONS.-,"58,299",0,0,"58,299",USD,"1,258,092.42 0.03"
POLYUS PJSC,"16,352","3,649","3,664","16,337",RUB,"2,847,927.38 0.07"
ROSNEFT OIL COMPANY,"554,790","94,890","88,030","561,650",RUB,"4,492,204.61 0.12"
SBERBANK OF RUSSIA,"5,157,860","601,830","546,530","5,213,160",RUB,"20,408,053.89 0.53"
SEVERSTAL,"110,390","16,417","19,270","107,537",RUB,"2,301,452.26 0.06"
SURGUTNEFTEGAS PIBLIC PFD,"3,678,330",0,"626,600","3,051,730",RUB,"1,565,655.02 0.04"
SURGUTNEFTEGAS PUBLIC,"3,147,990","1,354,100","729,400","3,772,690",RUB,"2,000,924.97 0.05"
TATNEFT,"696,221","52,180","49,850","698,551",RUB,"4,661,407.86 0.12"
UNITED COMPANY RUSAL,0,"1,513,388",0,"1,513,388",RUB,"1,493,127.55 0.04"
VTB BANK,"1,761,891,358","496,970,000","699,720,000","1,559,141,358",RUB,"1,004,031.93 0.03"
"",,,,,,
"",,,,,,"116,379,558.33 3.05"
SINGAPOUR / SINGAPUR,,,,,,
BOC AVIATION 144A/S,"115,000",0,0,"115,000",HKD,"842,261.82 0.02"
"",,,,,,
"",,,,,,"842,261.82 0.02"
TAIWAN / TAIWAN,,,,,,
ACCTON TECHNOLOGY,"230,000",0,0,"230,000",TWD,"2,161,420.02 0.06"
ACER INCORPORATED,"1,225,146",0,0,"1,225,146",TWD,"1,348,382.57 0.04"
ADVANTECH,"189,710","55,000","58,000","186,710",TWD,"2,675,769.85 0.07"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
ASE TECHNOLOGY HOLDINGS,"1,512,133","340,000","261,000","1,591,133",TWD,"6,124,830.53 0.16"
ASIA CEMENT CORP,"1,110,644","223,000","203,000","1,130,644",TWD,"1,810,371.04 0.05"
ASMEDIA TECHNOLOGY,"12,000",0,0,"12,000",TWD,"789,388.18 0.02"
ASUSTEK COMPUTER,"326,478","58,000","35,000","349,478",TWD,"4,749,475.73 0.12"
AU OPTRONICS,"3,814,730",0,0,"3,814,730",TWD,"3,157,455.75 0.08"
CATCHER TECHNOLOGY,"317,700",0,0,"317,700",TWD,"1,797,088.82 0.05"
CATHAY FINANCIAL HOLDING,"3,791,251","557,000","600,000","3,748,251",TWD,"8,467,333.56 0.22"
CHAILEASE HOLDING COMPANY,"582,956","70,147","40,000","613,103",TWD,"5,839,182.47 0.15"
CHAILEASE HOLDING COMPANY -PROV-,0,"29,147","29,147",0,TWD,0.00 0.00
CHANG HWA COMMERCIAL BANK,"2,416,757","18,287","588,000","1,847,044",TWD,"1,134,917.12 0.03"
CHANG HWA COMMERCIAL BANK -PROV-,0,"18,287","18,287",0,TWD,0.00 0.00
CHENG SHIN RUBBER INDUSTRY,"738,032",0,0,"738,032",TWD,"962,986.90 0.03"
CHICONY ELECTRONICS,"298,265",0,"298,265",0,TWD,0.00 0.00
CHILISIN ELECTRONICS,0,"42,000",0,"42,000",TWD,"143,607.93 0.00"
CHINA DEVELOPMENT FINANCIAL,"5,638,082","1,426,633",0,"7,064,715",TWD,"4,468,591.77 0.12"
CHINA DEVMT FIN HG PFD 'B',0,"757,953",0,"757,953",TWD,"262,723.47 0.01"
CHINA LIFE INSURANCE (TAIWAN),"1,562,204","1,148,088","2,710,292",0,TWD,0.00 0.00
CHINA LIFE INSURANCE (TWD)-PROV-,0,"40,088","40,088",0,TWD,0.00 0.00
CHINA STEEL,"5,885,002","568,000","694,000","5,759,002",TWD,"7,358,251.60 0.19"
CHUNGHWA TELECOM,"1,830,400","350,000","368,000","1,812,400",TWD,"7,631,641.57 0.20"
COMPAL ELECTRONICS,"2,257,516","405,000","471,000","2,191,516",TWD,"1,916,893.56 0.05"
CTBC FINANCIAL,"8,649,144","1,200,000","949,000","8,900,144",TWD,"8,347,806.65 0.22"
DELTA ELECTRONICS INDUSTRIAL,"955,577","148,000","177,000","926,577",TWD,"9,209,842.34 0.24"
E.SUN FINANCIAL HOLDING,"5,528,012","1,075,443","808,000","5,795,455",TWD,"5,875,683.44 0.15"
E.SUN FINANCIAL HOLDING -PROV-,0,"313,443","313,443",0,TWD,0.00 0.00
ECLAT TEXTILE,"96,715","17,000","16,000","97,715",TWD,"2,228,581.81 0.06"
EMEMORY TECHNOLOGY,0,"30,000",0,"30,000",TWD,"2,374,670.49 0.06"
EVERGREEN MARINE (TAIWAN),"1,329,348","239,000","373,000","1,195,348",TWD,"6,156,688.91 0.16"
FAR EASTERN NEW CENTURY,"1,391,563",0,0,"1,391,563",TWD,"1,473,697.95 0.04"
FAR EASTONE TELECOMMUNICATION,"847,000","308,000","314,000","841,000",TWD,"1,963,660.93 0.05"
FENG TAY ENTERPRISE,"213,142","42,000","52,000","203,142",TWD,"1,699,764.31 0.04"
FIRST FINANCIAL HOLDING COMP -PROV-,0,"44,811","44,811",0,TWD,0.00 0.00
FIRST FINANCIAL HOLDING COMPANY,"4,918,195","459,811","437,000","4,941,006",TWD,"4,375,417.02 0.11"
FORMOSA CHEMICALS & FIBER,"1,633,312","358,000","241,000","1,750,312",TWD,"5,111,693.64 0.13"
FORMOSA PETROCHEMICAL,"525,430","198,000","100,000","623,430",TWD,"2,160,947.87 0.06"
FORMOSA PLASTICS,"1,856,451","189,000","218,000","1,827,451",TWD,"6,869,372.48 0.18"
FOXCONN TECHNOLOGY,"516,663",0,"136,000","380,663",TWD,"892,942.20 0.02"
FUBON FINANCIAL HOLDING,"3,219,331","809,375","343,000","3,685,706",TWD,"10,164,434.31 0.27"
FUBON FINANCIAL HOLDING -PROV-,0,"300,733","300,733",0,TWD,0.00 0.00
GIANT MANUFACTURE,"125,568","29,000",0,"154,568",TWD,"1,927,421.36 0.05"
GLOBALWAFERS,"95,000","27,000","13,000","109,000",TWD,"3,498,464.33 0.09"
HIGHWEALTH CONSTRUCTION,"268,834",0,"268,834",0,TWD,0.00 0.00
HIWIN TECHNOLOGIES,"140,205","3,546","22,000","121,751",TWD,"1,348,779.64 0.04"
HIWIN TECHNOLOGIES -PROV-,0,"3,546","3,546",0,TWD,0.00 0.00
HON HAI PRECISION INDUSTRY,"5,988,378","833,000","781,000","6,040,378",TWD,"22,705,728.60 0.59"
HOTAI MOTOR,"151,000",0,"16,000","135,000",TWD,"2,995,988.39 0.08"
HUA NAN FINANCIAL HOLDING,"3,842,986","565,454",0,"4,408,440",TWD,"3,377,993.28 0.09"
HUA NAN FINANCIAL HOLDING -PROV-,0,"101,454","101,454",0,TWD,0.00 0.00
INNOLUX,"3,525,920","1,168,000","408,000","4,285,920",TWD,"3,036,254.12 0.08"
INVENTEC,"1,391,958","1,192,000","1,201,000","1,382,958",TWD,"1,247,146.66 0.03"
LARGAN PRECISION,"50,200","4,000","4,000","50,200",TWD,"4,472,585.24 0.12"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
LITE-ON TECHNOLOGY,"922,632","163,000",0,"1,085,632",TWD,"2,503,463.71 0.07"
MEDIA TEK,"738,057","80,000","90,000","728,057",TWD,"31,314,849.52 0.82"
MEGA FINANCIAL HOLDING,"5,155,859","562,000","310,000","5,407,859",TWD,"6,948,690.22 0.18"
MICRO-STAR INTERNATIONAL,"343,000","61,000","56,000","348,000",TWD,"2,018,795.21 0.05"
MOMO.COM,0,"24,000",0,"24,000",TWD,"1,409,621.75 0.04"
NAN YA PCB,0,"102,000",0,"102,000",TWD,"2,108,794.14 0.06"
NAN YA PLASTICS,"2,426,838","251,000","253,000","2,424,838",TWD,"7,484,772.18 0.20"
NANYA TECHNOLOGY,"640,000","231,000","216,000","655,000",TWD,"1,848,971.94 0.05"
